"year","catch_2025","catch_2017","diff"
1889,0.04,0.04,0
1890,0.04,0.04,0
1891,0.07,0.07,0
1892,3.64,3.64,0
1893,3.55,3.55,0
1894,3.55,3.55,0
1895,0.92,0.92,0
1896,0.22,0.22,0
1897,0.22,0.22,0
1898,0.13,0.13,0
1899,0.23,0.23,0
1900,0.3,0.3,0
1901,0.39,0.39,0
1902,0.48,0.48,0
1903,0.56,0.56,0
1904,0.73,0.73,0
1905,0.74,0.74,0
1906,0.83,0.83,0
1907,0.91,0.91,0
1908,1.95,1.95,0
1909,1.09,1.09,0
1910,1.18,1.18,0
1911,1.26,1.26,0
1912,1.35,1.35,0
1913,1.44,1.44,0
1914,1.53,1.53,0
1915,2.23,2.23,0
1916,1.7,1.7,0
1917,1.79,1.79,0
1918,18.54,18.54,0
1919,7.61,7.61,0
1920,6.57,6.57,0
1921,6.33,6.33,0
1922,4.38,4.38,0
1923,5.1,5.1,0
1924,9.29,9.29,0
1925,11.48,11.48,0
1926,17.48,17.48,0
1927,22.79,22.79,0
1928,22.09,22.09,0
1929,17.73,17.73,0
1930,19.5,19.5,0
1931,11.69,11.69,0
1932,7.33,7.33,0
1933,10.3,10.3,0
1934,12.66,12.66,0
1935,9.69,9.69,0
1936,16.65,16.65,0
1937,14.82,14.82,0
1938,16.35,16.35,0
1939,10.63,10.63,0
1940,17.14,17.14,0
1941,27.38,27.38,0
1942,31.38,31.38,0
1943,51.22,51.22,0
1944,22.6,22.6,0
1945,11.52,11.52,0
1946,20.68,20.68,0
1947,10.95,10.95,0
1948,12.49,13.38,-0.89
1949,10.68,11.21,-0.53
1950,14.65,14.78,-0.13
1951,17.87,17.96,-0.09
1952,12.6,13.06,-0.46
1953,5.51,5.61,-0.1
1954,9.89,10.25,-0.36
1955,9.58,9.71,-0.13
1956,4.28,4.34,-0.06
1957,8.47,8.51,-0.04
1958,2.33,2.39,-0.06
1959,5.31,5.41,-0.1
1960,4.84,4.92,-0.08
1961,4.87,4.91,-0.04
1962,5.11,5.16,-0.05
1963,3.71,4.1,-0.39
1964,2.73,3.11,-0.38
1965,4.65,4.68,-0.03
1966,3.06,3.24,-0.18
1967,6.52,6.6,-0.08
1968,5.51,5.66,-0.15
1969,13.08,13.08,0
1970,4.31,4.31,0
1971,8.34,8.34,0
1972,10.86,10.86,0
1973,11.46,11.46,0
1974,14.46,14.46,0
1975,7.65,7.65,0
1976,10.15,10.15,0
1977,17.02,17.02,0
1978,24.1,24.1,0
1979,49.09,49.1,-0.01
1980,24.96,24.96,0
1981,23.96,23.95,0.01
1982,31.45,31.45,0
1983,45.95,45.95,0
1984,39.39,39.39,0
1985,69.72,69.72,0
1986,60.42,66.15,-5.73
1987,97.1,97.08,0.02
1988,47.46,47.45,0.01
1989,41.41,41.4,0.01
1990,68.96,68.95,0.01
1991,85.63,85.62,0.01
1992,89.88,89.87,0.01
1993,138.32,138.25,0.07
1994,79.31,79.29,0.02
1995,40.43,40.43,0
1996,93.26,93.25,0.01
1997,115.55,115.54,0.01
1998,45.06,45.05,0.01
1999,102.55,102,0.55
2000,15.04,15.04,0
2001,20.8,26.31,-5.51
2002,2.25,4.15,-1.9
2003,0.42,2.24,-1.82
2004,0.87,2.38,-1.51
2005,0.87,1.66,-0.79
2006,0.66,2.16,-1.5
2007,1.76,3.68,-1.92
2008,0.57,3.43,-2.86
2009,0.63,2.18,-1.55
2010,0.49,0.86,-0.37
2011,0.18,1.21,-1.03
2012,0.18,1.91,-1.73
2013,0.49,2.94,-2.45
2014,0.73,2.16,-1.43
2015,0.77,3.15,-2.38
2016,0.19,2.59,-2.4
