"Label","Base","- CA TWL length comps","- CA NONTWL lengths comps","- CA REC lengths comps","- ORWA TWL length comps","- ORWA NONTWL length comps","- OR REC length comps","- WA REC length comps","- CA CPFV length comps","- ORFS length comps","- AFSC triennial length comps","- NWFSC bottom trawl length comps","- IPHC length comps","- No length comps","- CA NONTWL age comps","- CA REC age comps","- ORWA TWL age comps","- ORWA NONTWL age comps","- OR REC age comps","- WA REC age comps","- NWFSC bottom trawl age comps","- IPHC age comps","- No age comps","McAllister & Ianelli weighting"
"TOTAL_like",7907.94,7766.9,7797.25,7635.5,7813.88,7814.92,7712.66,7788.45,7740.94,7799.68,7881.22,7840.15,7853.25,6424.49,7781.04,7569.12,6277.41,7475.26,6887.16,7094.67,6509.46,7023.85,1296.02,7563.85
"Survey_like",1.06399,0.650288,-1.51359,0.367041,-0.688516,0.156834,-1.69896,0.799967,1.27562,0.0690402,1.07543,1.05042,0.989753,-20.7938,1.16217,1.16247,0.0695648,1.65658,1.82538,0.351674,0.460652,3.98171,-1.32004,-1.64815
"Length_comp_like",1384.5,1247.11,1286.81,1119.88,1300.98,1298.17,1212.12,1267.73,1220.84,1285.62,1359.4,1317.17,1332.58,0,1383.45,1379.49,1368.95,1381.13,1376.27,1379.59,1369.5,1368.81,1309.68,1479.33
"Age_comp_like",6507.96,6504.48,6493.22,6498.79,6503.41,6502.55,6488.15,6505.24,6502.77,6499.81,6506.33,6507.42,6504.54,6428.28,6381.35,6174.89,4898.03,6077.51,5497.73,5701.49,5130.4,5638.07,0,6071.61
"Recruitment_like",14.1016,14.3345,18.1719,16.2675,9.89796,13.7286,13.8564,14.3449,15.6592,13.9024,14.0973,14.208,14.8269,15.796,14.7519,13.2827,10.0573,14.6384,10.9946,12.9707,8.81332,12.3595,-12.4104,14.4068
"Forecast_Recruitment_like",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parm_priors_like",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Recr_Virgin_thousands",229.328,229.346,231.488,231.443,229.919,232.067,236.365,229.647,228.006,229.968,228.763,229.853,228.647,510.436,229.301,232.08,229.376,231.155,230.993,238.274,230.635,209.736,294.708,259.549
"SR_LN(R0)",5.43515,5.43523,5.44453,5.44433,5.43773,5.44703,5.46538,5.43654,5.42937,5.43794,5.43269,5.43744,5.43218,6.23527,5.43504,5.44708,5.43536,5.44309,5.44239,5.47342,5.44084,5.34585,5.68598,5.55895
"NatM_break_1_Fem_GP_1",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"L_at_Amax_Fem_GP_1",61.3823,61.3035,61.3243,61.3428,61.1908,61.4666,61.2626,61.2468,61.4185,61.373,61.3253,61.3693,61.3647,61.8726,61.3996,61.3514,61.6654,61.3024,61.2977,61.1616,61.4935,62.4504,61.0479,61.1773
"VonBert_K_Fem_GP_1",0.0759819,0.0763111,0.0763519,0.0763263,0.0772616,0.0759206,0.0784882,0.0765259,0.0757131,0.0764917,0.076266,0.0760919,0.0761415,0.0788424,0.0755784,0.0756862,0.0709569,0.0765471,0.0759819,0.0760375,0.0725789,0.0756752,0.0494464,0.0675088
"SmryBio_unfished",9803.38,9786.45,9886.28,9890.71,9807.28,9948.86,10165.9,9779.24,9752.37,9846.97,9766.52,9827.31,9772.54,22616.3,9789.22,9881.77,9661.22,9879.87,9802.63,10093.9,9893.52,9358.17,11160,10544.7
"SSB_Virgin",1129.7,1126.67,1138.64,1139.31,1128.45,1147.98,1174.01,1124.84,1124.07,1135.52,1124.73,1132.42,1126,2640.89,1127.51,1136.97,1109.66,1138.63,1127.23,1158.92,1137.62,1097.84,1214.19,1191.4
"SSB_2025",426.872,423.48,400.605,460.053,476.083,450.108,508.087,424.765,421.486,441.441,425.73,437.153,426.312,2219.99,424.242,425.357,413.402,433.044,417.975,452.734,422.224,337.767,487.882,511.232
"Bratio_2025",0.377862,0.375868,0.351826,0.403799,0.421892,0.392086,0.432777,0.377624,0.374965,0.388757,0.378517,0.386033,0.378607,0.840621,0.376263,0.374115,0.372549,0.380321,0.370797,0.39065,0.371145,0.307667,0.401817,0.429101
"SPRratio_2024",0.221354,0.223663,0.233588,0.210363,0.203381,0.211355,0.191942,0.227698,0.223141,0.215516,0.221628,0.217455,0.221245,0.073809,0.222405,0.221836,0.232061,0.217412,0.223449,0.209854,0.227106,0.277636,0.206616,0.187489
