"Label","Base","- CA REC index","- OR REC index","- WA REC index","- CA CPFV index","- ORBS index","- AFSC triennial index","- NWFSC bottom trawl index","- IPHC index","No indices"
"TOTAL_like",7907.94,7912.18,7881.71,7912.09,7747.81,7804.09,7882.48,6446.77,6966.46,5206.41
"Survey_like",1.06399,5.1728,-25.3389,5.03584,7.82516,4.54878,2.23584,6.59125,0.607488,NA
"Length_comp_like",1384.5,1384.58,1384.59,1382.17,1221.03,1285.5,1360.09,1300.99,1316.38,947.835
"Age_comp_like",6507.96,6508,6507.24,6510.42,6502.76,6499.54,6505.7,5129.56,5635.77,4247.35
"Recruitment_like",14.1016,14.0598,14.9443,14.0733,15.8736,14.2214,14.1602,9.34878,13.0763,10.5289
"Forecast_Recruitment_like",0,0,0,0,0,0,0,0,0,0
"Parm_priors_like",0,0,0,0,0,0,0,0,0,0
"Recr_Virgin_thousands",229.328,224.516,237.639,219.483,234.057,230.024,230.61,231.83,209.205,208.692
"SR_LN(R0)",5.43515,5.41395,5.47075,5.39127,5.45556,5.43818,5.44073,5.446,5.34331,5.34086
"NatM_break_1_Fem_GP_1",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"L_at_Amax_Fem_GP_1",61.3823,61.3889,61.3814,61.3848,61.4072,61.3745,61.3227,61.4806,62.4397,62.7057
"VonBert_K_Fem_GP_1",0.0759819,0.0759841,0.0759693,0.0759137,0.075743,0.0764865,0.0762968,0.0726479,0.075765,0.0735218
"SmryBio_unfished",9803.38,9599.68,10158.8,9378.28,10008.9,9848.79,9846.21,9944.17,9332.53,9431.57
"SSB_Virgin",1129.7,1106.36,1170.65,1080.56,1153.48,1135.74,1133.93,1143.33,1094.69,1108.72
"SSB_2025",426.872,406.706,458.975,385.859,448.198,439.599,434.007,433.605,336.536,335.891
"Bratio_2025",0.377862,0.367608,0.392068,0.357092,0.388562,0.387061,0.382745,0.379249,0.307426,0.302955
"SPRratio_2024",0.221354,0.230685,0.2075,0.241249,0.211712,0.215844,0.218008,0.222124,0.278095,0.28212
