"","h 0.7","h 0.65","h 0.6","h 0.55","h 0.5","h 0.45","h 0.4","h 0.35","h 0.3","h 0.25","h 0.75","h 0.8","h 0.85","h 0.9","h 0.95","h 1"
"totlikelihood",7306.81,7286.79,7274.5,7265.71,7258.87,7253.84,7250.31,7247.87,7246.23,7245.15,7244.47,7244.06,7243.86,7243.79,7243.82,7243.92
"surveylike",-2.2851,-5.19378,-5.85066,-4.4971,-2.98676,-1.62251,-0.41323,0.603346,1.43668,2.11026,2.65076,3.08385,3.43145,3.7113,3.93746,4.12101
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",1408.54,1400.43,1394.97,1391.66,1388.33,1385.1,1382.32,1380.09,1378.34,1376.96,1375.89,1375.06,1374.43,1373.95,1373.59,1373.33
"agelike",5842.73,5844.3,5846.09,5846.52,5847.24,5848.34,5849.47,5850.47,5851.3,5851.97,5852.48,5852.86,5853.13,5853.33,5853.46,5853.55
"recrlike",55.7682,45.2891,37.5538,30.6109,25.1326,21.0839,18.1397,16.0343,14.5839,13.6268,13.0279,12.687,12.5299,12.5025,12.5655,12.6907
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",5.43213,5.41532,5.40009,5.40133,5.40474,5.40532,5.40579,5.40638,5.40723,5.40825,5.40939,5.4106,5.41187,5.41317,5.41449,5.41584
"SB0",1157.7,1138.57,1121.67,1123.26,1127.22,1127.92,1128.39,1128.95,1129.78,1130.81,1131.99,1133.26,1134.61,1136.02,1137.48,1138.96
"SBfinal",22.6125,32.9226,55.9512,96.7722,143.862,191.182,239.166,286.594,332.326,375.538,415.823,453.058,487.306,518.733,547.549,573.981
"deplfinal",0.0195323,0.0289158,0.0498822,0.0861528,0.127626,0.169499,0.211954,0.253859,0.294152,0.332096,0.367339,0.399782,0.429492,0.456623,0.481372,0.503953
"yieldspr",1.22145e-12,7.98778e-12,15.8866,47.8127,67.279,80.2442,89.5353,96.5435,102.041,106.485,110.161,113.261,115.918,118.226,120.256,122.058
"steep",0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
"mfem",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"lminfem",1.04833,0.926511,0.856654,0.817951,0.808253,0.812993,0.826983,0.842527,0.858925,0.875286,0.890325,0.903665,0.915267,0.925248,0.933787,0.94109
"lmaxfem",61.7257,61.7274,61.7368,61.7474,61.7645,61.7835,61.8004,61.8138,61.8244,61.8327,61.8391,61.8439,61.8476,61.8503,61.8522,61.8536
"kfem",0.076658,0.0767779,0.0768063,0.0767841,0.0766909,0.0765694,0.0764461,0.0763399,0.0762499,0.0761743,0.0761128,0.0760636,0.0760246,0.0759941,0.0759703,0.0759519
"cv1fem",0.147309,0.147826,0.148392,0.148683,0.149013,0.149372,0.149683,0.14993,0.150117,0.150255,0.150352,0.150418,0.15046,0.150484,0.150495,0.150495
"cv2fem",0.0627923,0.0624813,0.0622759,0.0622367,0.0621685,0.0620682,0.0619739,0.0618957,0.0618338,0.0617863,0.0617512,0.0617263,0.0617096,0.0616992,0.0616937,0.0616919
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
