"Label","Base","- ORWA TWL length comps","- ORWA NONTWL length comps","- OR REC length comps","- No length comps","- NWFSC bottom trawl age comps","- IPHC age comps","- No age comps","McAllister & Ianelli weighting"
"TOTAL_like",7867.43,7773.76,7771.86,7671.93,6385.82,6468.5,6973.21,1247.19,7507.06
"Survey_like",-54.602,-56.019,-55.1926,-57.1204,-71.3232,-55.2788,-50.2955,-53.5705,-57.6037
"Length_comp_like",1388.24,1304.38,1299.58,1213.85,0,1373.51,1373.31,1310.32,1478.45
"Age_comp_like",6517.82,6513.3,6512.05,6498.88,6439.92,5139.62,5635.75,0,6070.23
"Recruitment_like",15.7096,11.8623,15.1509,16.1148,15.781,10.4134,13.9381,-9.70417,15.8579
"Forecast_Recruitment_like",0,0,0,0,0,0,0,0,0
"Parm_priors_like",0,0,0,0,0,0,0,0,0
"Recr_Virgin_thousands",241.237,240.603,243.746,247.144,382.322,243.011,222.519,274.397,269.694
"SR_LN(R0)",5.48578,5.48315,5.49613,5.50997,5.94626,5.49311,5.40501,5.61458,5.59729
"NatM_break_1_Fem_GP_1",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"L_at_Amax_Fem_GP_1",61.3656,61.1765,61.443,61.2929,61.3984,61.4748,62.4307,60.8008,61.1843
"VonBert_K_Fem_GP_1",0.0759335,0.0771632,0.0758905,0.0782481,0.079954,0.0725126,0.0757094,0.055893,0.0674015
"SmryBio_unfished",10305.3,10253.5,10440.2,10631,16669.3,10415,9925.19,11023.1,10955
"SSB_Virgin",1187.12,1179.3,1204.12,1227.97,1932.26,1197.08,1164.1,1225.13,1237.67
"SSB_2025",473.382,516.052,496.303,539.091,1445.73,467.721,389.673,466.679,544.993
"Bratio_2025",0.398764,0.437591,0.412171,0.43901,0.748207,0.390717,0.334743,0.380923,0.440339
"SPRratio_2024",0.201801,0.188475,0.193895,0.182054,0.0981777,0.206996,0.245522,0.21078,0.176568
