"","Base Model","Retro -1","Retro -2","Retro -3","Retro -4","Retro -5"
"totlikelihood",7907.94,7582.81,7284.55,6883.61,6513.44,6365.24
"surveylike",1.06399,2.16689,1.39174,1.71597,1.24244,0.737146
"discardlike",NA,NA,NA,NA,NA,NA
"lengthlike",1384.5,1347.98,1297.28,1249.67,1209.04,1177.93
"agelike",6507.96,6218.22,5969.55,5616.68,5288.52,5172.79
"recrlike",14.1016,14.1165,15.9395,15.1796,14.3045,13.4654
"forerecrlike",0,0,0,0,0,0
"priorlike",0,0,0,0,0,0
"parmlike",0,0,0,0,0,0
"R0",5.43515,5.43556,5.43386,5.43565,5.44582,5.44844
"SB0",1129.7,1131.64,1129.38,1133.36,1140.76,1141.57
"SBfinal",426.872,425.118,410.122,419.781,435.428,439.786
"deplfinal",0.377862,0.375664,0.36314,0.370386,0.3817,0.385245
"yieldspr",110.711,110.652,110.168,109.982,110.423,110.663
"steep",0.718,0.718,0.718,0.718,0.718,0.718
"mfem",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"lminfem",1.47471,1.85706,2.03634,2.63805,3.31355,3.65597
"lmaxfem",61.3823,61.4482,61.5297,61.6417,61.6795,61.6699
"kfem",0.0759819,0.0751798,0.0743446,0.0731566,0.0718912,0.0714588
"cv1fem",0.148292,0.155957,0.164443,0.171212,0.179353,0.18164
"cv2fem",0.0642259,0.0653714,0.0658308,0.0662832,0.0667113,0.0667413
"mmale",NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA
