"","Base Model","Retro -1","Retro -2","Retro -3","Retro -4","Retro -5"
"totlikelihood",7244.86,6935.51,6659,6255.66,5904.2,5756.92
"surveylike",2.31877,3.37537,2.47127,2.75345,2.18847,1.80739
"discardlike",NA,NA,NA,NA,NA,NA
"lengthlike",1376.54,1340.28,1291.62,1226.63,1188.53,1157.19
"agelike",5852.17,5577.83,5348.89,5011.11,4699.23,4584.6
"recrlike",13.3758,13.5409,15.4705,14.6263,13.7393,12.8416
"forerecrlike",0,0,0,0,0,0
"priorlike",0,0,0,0,0,0
"parmlike",0,0,0,0,0,0
"R0",5.40865,5.4073,5.40497,5.40461,5.41183,5.41504
"SB0",1131.22,1133.19,1131.49,1132.57,1138.02,1138.89
"SBfinal",390.39,387.314,371.89,377.663,390.122,394.868
"deplfinal",0.345104,0.341792,0.328673,0.333456,0.342808,0.346714
"yieldspr",107.885,107.914,107.614,107.132,107.404,107.682
"steep",0.718,0.718,0.718,0.718,0.718,0.718
"mfem",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"lminfem",0.880881,1.22466,1.38645,1.97572,2.6269,2.92334
"lmaxfem",61.8352,61.9268,62.0276,62.1307,62.1841,62.1439
"kfem",0.0761506,0.0753874,0.0745592,0.0734381,0.0722119,0.0719546
"cv1fem",0.150294,0.15772,0.166184,0.173418,0.181932,0.184344
"cv2fem",0.0617724,0.0629576,0.0633767,0.0635355,0.0640311,0.0642109
"mmale",NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA
