Year,State,Data Type,Fleet,GearGroup,Catches (mtons),Data source,Provided by,,New_Data_2025,Diff
1889,WA,Comm,Shoreside,NONTWL,0.037320885,WDFW,Theresa Tsou,,0.037320885,0.00
1890,WA,Comm,Shoreside,NONTWL,0.04262166,WDFW,Theresa Tsou,,0.04262166,0.00
1891,WA,Comm,Shoreside,NONTWL,0.074304402,WDFW,Theresa Tsou,,0.074304402,0.00
1892,WA,Comm,Shoreside,NONTWL,0.086459751,WDFW,Theresa Tsou,,0.086459751,0.00
1895,WA,Comm,Shoreside,NONTWL,0.007468657,WDFW,Theresa Tsou,,0.007468657,0.00
1899,WA,Comm,Shoreside,NONTWL,0.0151562,WDFW,Theresa Tsou,,0.0151562,0.00
1904,WA,Comm,Shoreside,NONTWL,0.084242808,WDFW,Theresa Tsou,,0.084242808,0.00
1908,WA,Comm,Shoreside,NONTWL,0.945373973,WDFW,Theresa Tsou,,0.945373973,0.00
1915,WA,Comm,Shoreside,NONTWL,0.610140421,WDFW,Theresa Tsou,,0.610140421,0.00
1918,WA,Comm,Shoreside,NONTWL,16.65553537,WDFW,Theresa Tsou,,16.65553537,0.00
1919,WA,Comm,Shoreside,NONTWL,5.64381846,WDFW,Theresa Tsou,,5.64381846,0.00
1920,WA,Comm,Shoreside,NONTWL,4.516810623,WDFW,Theresa Tsou,,4.516810623,0.00
1921,WA,Comm,Shoreside,NONTWL,4.188967479,WDFW,Theresa Tsou,,4.188967479,0.00
1922,WA,Comm,Shoreside,NONTWL,2.147159379,WDFW,Theresa Tsou,,2.147159379,0.00
1923,WA,Comm,Shoreside,NONTWL,2.784283774,WDFW,Theresa Tsou,,2.784283774,0.00
1924,WA,Comm,Shoreside,NONTWL,6.891729431,WDFW,Theresa Tsou,,6.891729431,0.00
1925,WA,Comm,Shoreside,NONTWL,8.99248408,WDFW,Theresa Tsou,,8.99248408,0.00
1926,WA,Comm,Shoreside,NONTWL,14.90469746,WDFW,Theresa Tsou,,14.90469746,0.00
1927,WA,Comm,Shoreside,NONTWL,20.11707736,WDFW,Theresa Tsou,,20.11707736,0.00
1928,WA,Comm,Shoreside,NONTWL,17.63881396,WDFW,Theresa Tsou,,17.63881396,0.00
1929,WA,Comm,Shoreside,NONTWL,10.26526197,WDFW,Theresa Tsou,,10.26526197,0.00
