"AGENCY_CODE","AGENCY","STATE_NAME","RECFIN_YEAR","AREA","RECFIN_SPECIES_CODE","AGENCY_SPECIES_NAME","SPECIES_NAME","SCIENTIFIC_NAME","PFMC_FISHERY_MANAGEMENT_PLAN","SPECIES_GROUP_NAME","STOCK_COMPLEX_NAME","PACFIN_SPECIES_CODE","RETAINED_NUM","RECFIN_VDATE"
53,"W","WASHINGTON",1975,2,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",12,"03/06/2025"
53,"W","WASHINGTON",1975,3,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",763,"03/06/2025"
53,"W","WASHINGTON",1975,4,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",618,"03/06/2025"
53,"W","WASHINGTON",1976,3,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",1130,"03/06/2025"
53,"W","WASHINGTON",1976,4,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",324,"03/06/2025"
53,"W","WASHINGTON",1980,1,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",50,"03/06/2025"
53,"W","WASHINGTON",1980,2,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",12,"03/06/2025"
53,"W","WASHINGTON",1980,3,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",246,"03/06/2025"
53,"W","WASHINGTON",1980,4,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",565,"03/06/2025"
53,"W","WASHINGTON",1977,1,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",5,"03/06/2025"
53,"W","WASHINGTON",1977,2,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",162,"03/06/2025"
53,"W","WASHINGTON",1977,3,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",2194,"03/06/2025"
53,"W","WASHINGTON",1977,4,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",630,"03/06/2025"
53,"W","WASHINGTON",1978,1,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",77,"03/06/2025"
53,"W","WASHINGTON",1978,2,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",51,"03/06/2025"
53,"W","WASHINGTON",1978,3,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",976,"03/06/2025"
53,"W","WASHINGTON",1978,4,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",376,"03/06/2025"
53,"W","WASHINGTON",1981,1,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",7,"03/06/2025"
53,"W","WASHINGTON",1981,2,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",954,"03/06/2025"
53,"W","WASHINGTON",1981,3,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",16,"03/06/2025"
53,"W","WASHINGTON",1981,4,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",646,"03/06/2025"
53,"W","WASHINGTON",1982,1,8826010134,"YELLOWEYE ROCKFISH","YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS","GROUNDFISH","ROCKFISH","SHELF ROCKFISH","YEYE",482,"03/06/2025"
