"","h 0.7","h 0.65","h 0.6","h 0.55","h 0.5","h 0.45","h 0.4","h 0.35","h 0.3","h 0.25","h 0.75","h 0.8","h 0.85","h 0.9","h 0.95","h 1"
"totlikelihood",6885.77,6863.52,6849.51,6840.01,6832.52,6826.66,6822.29,6819.1,6816.83,6815.23,6814.14,6813.42,6812.98,6812.73,6812.63,6812.64
"surveylike",-2.71316,-5.17698,-6.10688,-4.75763,-2.82749,-1.15573,0.289994,1.51745,2.54296,3.38896,4.08189,4.6478,5.10965,5.48678,5.79533,6.04841
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",1409.79,1401.26,1394.58,1390.37,1386.96,1383.59,1380.65,1378.15,1376.11,1374.47,1373.17,1372.15,1371.35,1370.74,1370.26,1369.9
"agelike",5414.62,5415.27,5417.29,5418.38,5419,5419.85,5420.77,5421.64,5422.38,5422.98,5423.45,5423.79,5424.04,5424.21,5424.32,5424.38
"recrlike",61.9149,50.0734,41.8005,34.353,28.0105,23.204,19.5852,16.9391,15.0494,13.7393,12.866,12.3193,12.0138,11.8843,11.8818,11.9697
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",5.38232,5.36596,5.34386,5.33715,5.3404,5.34181,5.34255,5.34291,5.3432,5.34347,5.34376,5.34411,5.34456,5.3451,5.34575,5.34651
"SB0",1122.17,1104.98,1081.82,1075.12,1078.86,1080.58,1081.43,1081.79,1082.01,1082.19,1082.39,1082.67,1083.05,1083.55,1084.17,1084.91
"SBfinal",22.0099,29.3267,44.8112,75.4938,117.197,160.497,204.776,248.814,291.71,332.727,371.415,407.561,441.131,472.196,500.891,527.377
"deplfinal",0.0196136,0.0265405,0.0414219,0.0702191,0.108631,0.148529,0.189357,0.230001,0.2696,0.307458,0.343143,0.376442,0.407306,0.435788,0.462004,0.486101
"yieldspr",1.24925e-12,8.17069e-12,15.233,45.5449,64.1334,76.6025,85.5408,92.2539,97.4866,101.683,105.126,108.007,110.461,112.583,114.441,116.088
"steep",0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
"mfem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminfem",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"lmaxfem",62.1154,62.1525,62.1879,62.2116,62.2309,62.2509,62.2675,62.2804,62.2899,62.2968,62.3016,62.3048,62.3068,62.3078,62.3082,62.3081
"kfem",0.0759682,0.0758331,0.0757028,0.075598,0.0754954,0.0753858,0.0752883,0.0752064,0.0751408,0.07509,0.0750517,0.0750236,0.0750036,0.0749899,0.0749813,0.0749763
"cv1fem",0.148108,0.148407,0.149034,0.149343,0.149569,0.149856,0.150138,0.150385,0.150588,0.150748,0.150871,0.15096,0.151023,0.151064,0.151088,0.151099
"cv2fem",0.0606999,0.0603337,0.0600129,0.059906,0.0598607,0.059778,0.0596906,0.0596106,0.0595431,0.0594891,0.0594476,0.0594172,0.059396,0.0593824,0.0593749,0.0593721
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
