"","Base Model","Retro -1","Retro -2","Retro -3","Retro -4","Retro -5"
"totlikelihood",7866.87,7543.41,7246.89,6847.13,6478.29,6331.36
"surveylike",-54.6808,-51.872,-50.6835,-48.8126,-47.6719,-46.6611
"discardlike",NA,NA,NA,NA,NA,NA
"lengthlike",1388.13,1351.7,1301.49,1253.55,1212.15,1180.89
"agelike",6517.86,6228.07,5978.95,5625.89,5297.69,5182.32
"recrlike",15.3087,15.2548,16.8258,16.2058,15.8509,14.5476
"forerecrlike",0,0,0,0,0,0
"priorlike",0,0,0,0,0,0
"parmlike",0,0,0,0,0,0
"R0",5.48813,5.48822,5.48645,5.48699,5.4951,5.49526
"SB0",1189.9,1191.47,1189.02,1191.61,1196.79,1194.75
"SBfinal",477.115,476.532,462.568,471.654,484.956,487.074
"deplfinal",0.400972,0.399954,0.389034,0.395813,0.405214,0.40768
"yieldspr",117.104,116.992,116.456,116.113,116.365,116.313
"steep",0.72,0.72,0.72,0.72,0.72,0.72
"mfem",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"lminfem",1.54445,1.93341,2.12663,2.73063,3.3925,3.74718
"lmaxfem",61.3664,61.4336,61.5151,61.6284,61.6684,61.6593
"kfem",0.0759253,0.0751007,0.0742537,0.073047,0.0717712,0.0713284
"cv1fem",0.14792,0.155568,0.163959,0.170662,0.178874,0.181082
"cv2fem",0.0643925,0.0655456,0.0660306,0.0664895,0.0668951,0.0669265
"mmale",NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA
