"","R0 5.25","R0 5","R0 4.75","R0 4.5","R0 4.25","R0 4","R0 3.75","R0 3.5","R0 5.5","R0 5.75","R0 6","R0 6.25","R0 6.5","R0 6.75","R0 7","R0 7.25"
"totlikelihood",7088.48,1010600,1010060,6930.16,6890.7,6864.12,6831.39,6816.01,6818.15,6836.96,6869.8,6909.01,6940.93,6960.53,6973.08,6981.69
"surveylike",-5.31469,-9.69782,-6.63041,-2.26115,-0.784077,0.576621,1.97628,3.24229,4.24249,4.79626,4.33558,2.06093,0.283751,0.0407809,0.349462,0.680467
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",1395.55,2509.68,2362.24,1382.7,1379.41,1379.75,1376.61,1374.51,1373.51,1374.84,1381.9,1402.52,1433.4,1455.12,1465.95,1472.7
"agelike",5458.05,6057.2,5664.27,5427.81,5418.76,5424.91,5423.65,5423.2,5423.23,5423.43,5423.24,5421.97,5421.21,5421.03,5421.14,5421.28
"recrlike",237.885,29.1536,36.7919,120.116,91.7524,57.5921,28.1366,14.3329,16.7179,33.676,60.291,82.4153,85.8072,83.942,85.1104,86.389
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25
"SB0",173.392,109.148,290.907,365.755,469.156,602.38,771.576,987.02,1262.46,1615.26,2069.3,2661.03,3437.47,4432.75,5702.72,7330.54
"SBfinal",27.4818,0.0132425,36.5922,81.738,113.469,158.152,220.749,306.884,426.365,600.2,884.241,1424.86,2383.39,3653.47,5191.7,7120.76
"deplfinal",0.158495,0.000121326,0.125787,0.223478,0.241858,0.262545,0.286102,0.310919,0.337726,0.371582,0.427315,0.535456,0.693356,0.824199,0.910391,0.971382
"yieldspr",16.2154,13.1885,23.9838,34.4947,44.3333,56.9833,73.1639,93.846,120.32,154.216,197.623,253.278,323.53,411.039,522.497,665.732
"steep",0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718
"mfem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminfem",1,14.5532,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"lmaxfem",62.5223,51.2055,64.8761,62.4605,62.4414,62.4491,62.4052,62.3295,62.2448,62.1542,62.0674,62.0259,62.0805,62.1281,62.1513,62.1644
"kfem",0.0747541,0.0247129,0.0623875,0.074813,0.0748522,0.0748306,0.0748837,0.0750152,0.0751899,0.0754233,0.0757396,0.0760955,0.0762472,0.0763134,0.0763313,0.0763437
"cv1fem",0.154193,0.0447113,0.0760609,0.151658,0.151319,0.15222,0.1518,0.151103,0.150206,0.148981,0.147231,0.144968,0.143538,0.143329,0.143306,0.143326
"cv2fem",0.0588452,0.488406,0.0812036,0.0594616,0.0593682,0.0587493,0.0589402,0.0593109,0.0597795,0.0603941,0.0612263,0.0622508,0.0629684,0.0631424,0.0632089,0.0632361
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
