"Label","Base","Estimate Natural Mortality","Estimate steepness","2017 length-weight relationship"
"TOTAL_like",7874.77,7869.13,7871.44,7874.77
"Survey_like",-54.7065,-57.8806,-56.2827,-54.7065
"Length_comp_like",1387.28,1382.61,1383.93,1387.28
"Age_comp_like",6526.61,6530.54,6529.26,6526.61
"Recruitment_like",15.3286,13.8403,14.418,15.3286
"Forecast_Recruitment_like",0,0,0,0
"Parm_priors_like",0,0,0,0
"Recr_Virgin_thousands",241.887,392.064,240.801,241.887
"SR_LN(R0)",5.48847,5.97142,5.48397,5.48847
"NatM_break_1_Fem_GP_1",0.0439034,0.0528618,0.0439034,0.0439034
"L_at_Amax_Fem_GP_1",61.3623,61.3559,61.3824,61.3623
"VonBert_K_Fem_GP_1",0.0759256,0.0757386,0.075709,0.0759256
"SmryBio_unfished",10331,11865.4,10281,10331
"SSB_Virgin",1190,1316.36,1184.16,1190
"SSB_2025",477.63,724.664,639.998,477.63
"Bratio_2025",0.40137,0.550507,0.540468,0.40137
"SPRratio_2024",0.356508,0.215155,0.276091,0.356508
