"Label","Base","- CA NONTWL age comps","- CA REC age comps","- ORWA TWL age comps","- ORWA NONTWL age comps","- OR REC age comps","- WA REC age comps","- NWFSC bottom trawl age comps","- IPHC age comps","- No age comps","McAllister & Ianelli weighting"
"TOTAL_like",7874.77,7747.78,7535.96,6243.67,7439.46,6854.05,7060.88,6475.81,6975.15,1245.83,7506.59
"Survey_like",-54.7065,-54.6277,-54.4225,-55.3405,-54.4502,-53.7946,-55.6581,-55.3904,-50.4112,-53.6386,-57.6698
"Length_comp_like",1387.28,1386.26,1382.22,1371.2,1384.22,1379.09,1381.97,1372.56,1372.25,1309.35,1478.39
"Age_comp_like",6526.61,6399.94,6193.39,4916.15,6093.57,5516.45,5719.94,5148.36,5639.31,0,6070.27
"Recruitment_like",15.3286,15.9632,14.5435,11.4169,15.8613,12.0298,14.4124,10.0461,13.5087,-10.0157,15.4795
"Forecast_Recruitment_like",0,0,0,0,0,0,0,0,0,0,0
"Parm_priors_like",0,0,0,0,0,0,0,0,0,0,0
"Recr_Virgin_thousands",241.887,241.952,244.735,242.069,243.986,244.196,250.708,243.671,222.982,274.842,270.471
"SR_LN(R0)",5.48847,5.48874,5.50017,5.48922,5.49711,5.49797,5.52429,5.49582,5.40709,5.6162,5.60016
"NatM_break_1_Fem_GP_1",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"L_at_Amax_Fem_GP_1",61.3623,61.3786,61.3289,61.6515,61.2792,61.2673,61.143,61.4719,62.4304,60.8232,61.1854
"VonBert_K_Fem_GP_1",0.0759256,0.0755264,0.0756456,0.0708329,0.0765066,0.0759658,0.0759546,0.0724971,0.0757051,0.0558668,0.0673907
"SmryBio_unfished",10331,10320,10411,10185.1,10418.5,10351.2,10610,10441.2,9945.37,11046.8,10986.3
"SSB_Virgin",1190,1188.12,1197.32,1169.27,1200.16,1189.66,1217.61,1199.98,1166.44,1228.11,1241.2
"SSB_2025",477.63,475.113,475.18,461.464,485.851,469.622,502.097,471.858,393.043,469.146,549.181
"Bratio_2025",0.40137,0.399885,0.396869,0.394659,0.404823,0.394752,0.412364,0.393221,0.336959,0.382008,0.442459
"SPRratio_2024",0.356508,0.358014,0.358036,0.372144,0.350081,0.359351,0.341191,0.364762,0.426759,0.371822,0.316176
