"Label","Base","- CA NONTWL age comps","- CA REC age comps","- ORWA TWL age comps","- ORWA NONTWL age comps","- OR REC age comps","- WA REC age comps"
"TOTAL_like",7874.77,7747.78,7535.96,6243.67,7439.46,6854.05,7060.88
"Survey_like",-54.7065,-54.6277,-54.4225,-55.3405,-54.4502,-53.7946,-55.6581
"Length_comp_like",1387.28,1386.26,1382.22,1371.2,1384.22,1379.09,1381.97
"Age_comp_like",6526.61,6399.94,6193.39,4916.15,6093.57,5516.45,5719.94
"Recruitment_like",15.3286,15.9632,14.5435,11.4169,15.8613,12.0298,14.4124
"Forecast_Recruitment_like",0,0,0,0,0,0,0
"Parm_priors_like",0,0,0,0,0,0,0
"Recr_Virgin_thousands",241.887,241.952,244.735,242.069,243.986,244.196,250.708
"SR_LN(R0)",5.48847,5.48874,5.50017,5.48922,5.49711,5.49797,5.52429
"NatM_break_1_Fem_GP_1",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"L_at_Amax_Fem_GP_1",61.3623,61.3786,61.3289,61.6515,61.2792,61.2673,61.143
"VonBert_K_Fem_GP_1",0.0759256,0.0755264,0.0756456,0.0708329,0.0765066,0.0759658,0.0759546
"SmryBio_unfished",10331,10320,10411,10185.1,10418.5,10351.2,10610
"SSB_Virgin",1190,1188.12,1197.32,1169.27,1200.16,1189.66,1217.61
"SSB_2025",477.63,475.113,475.18,461.464,485.851,469.622,502.097
"Bratio_2025",0.40137,0.399885,0.396869,0.394659,0.404823,0.394752,0.412364
"SPRratio_2024",0.356508,0.358014,0.358036,0.372144,0.350081,0.359351,0.341191
