"Label","Base","- CA TWL length comps","- CA NONTWL lengths comps","- CA REC lengths comps","- ORWA TWL length comps","- ORWA NONTWL length comps","- OR REC length comps","- WA REC length comps"
"TOTAL_like",7874.77,7735.34,7765.03,7603.71,7780.85,7779.2,7680.1,7755.36
"Survey_like",-54.7065,-54.4716,-56.4817,-55.5997,-56.1107,-55.2925,-57.2261,-54.8682
"Length_comp_like",1387.28,1250.74,1289.92,1123.87,1303.2,1298.64,1213.64,1270.6
"Age_comp_like",6526.61,6523.18,6511.34,6517.53,6522.05,6520.81,6507.73,6523.85
"Recruitment_like",15.3286,15.634,19.7641,17.7633,11.4837,14.7811,15.7565,15.522
"Forecast_Recruitment_like",0,0,0,0,0,0,0,0
"Parm_priors_like",0,0,0,0,0,0,0,0
"Recr_Virgin_thousands",241.887,240.231,243.282,243.821,241.236,244.452,247.886,242.171
"SR_LN(R0)",5.48847,5.4816,5.49422,5.49643,5.48578,5.49902,5.51297,5.48964
"NatM_break_1_Fem_GP_1",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"L_at_Amax_Fem_GP_1",61.3623,61.2793,61.3026,61.3239,61.1725,61.4393,61.2902,61.2268
"VonBert_K_Fem_GP_1",0.0759256,0.0762697,0.076301,0.0762644,0.077158,0.0758847,0.078232,0.0764731
"SmryBio_unfished",10331,10240.3,10380.1,10410.4,10278.4,10468.3,10660.8,10303.6
"SSB_Virgin",1190,1178.36,1194.97,1198.67,1182.05,1207.27,1231.32,1184.65
"SSB_2025",477.63,471.102,447.839,511.303,520.246,500.739,543.75,475.296
"Bratio_2025",0.40137,0.399794,0.374769,0.426558,0.440121,0.41477,0.4416,0.401212
"SPRratio_2024",0.356508,0.360376,0.370617,0.340559,0.333142,0.344484,0.322009,0.361247
