"year","CA.TWL_n_trips","CA.TWL_n_fish","CA.HKL_n_trips","CA.HKL_n_fish","ORWA.TWL_n_trips","ORWA.TWL_n_fish","ORWA.HKL_n_trips","ORWA.HKL_n_fish"
1977,1,2,NA,NA,NA,NA,NA,NA
1978,-2,-15,0,0,0,0,0,0
1979,-2,-5,-3,-4,0,0,0,0
1980,-1,-1,-3,-7,0,0,-2,-4
1981,0,0,-3,-2,0,0,0,0
1982,3,4,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0
1984,0,0,-2,-8,0,0,0,0
1985,-1,-1,-4,-7,0,0,0,0
1986,0,0,-3,-3,0,0,0,0
1987,-2,-3,-1,-1,0,0,0,0
1988,0,0,-4,-7,0,0,0,0
1989,-1,0,-9,-21,0,0,0,0
1990,0,0,-7,-14,0,0,0,0
1991,-1,-1,0,0,0,0,0,0
1992,0,0,-10,-33,0,0,0,0
1993,0,0,-11,-50,0,0,0,0
1994,0,0,-10,-11,0,0,0,0
1995,-1,-3,-4,-27,0,0,0,0
1996,0,0,-12,-43,-22,-266,0,0
1997,0,0,-3,-6,-19,-117,0,0
1998,0,0,-1,-8,-2,-3,0,0
1999,0,0,-4,-1,0,0,-1,0
2000,0,0,0,0,0,0,-5,0
2001,0,0,0,0,0,0,-7,-93
2002,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,-1,-8
2004,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2006,0,0,0,0,10,16,0,0
2007,0,0,0,0,1,1,1,12
2008,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,1,3
2015,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0
