"","h 0.7","h 0.65","h 0.6","h 0.55","h 0.5","h 0.45","h 0.4","h 0.35","h 0.3","h 0.25","h 0.75","h 0.8","h 0.85","h 0.9","h 0.95","h 1"
"totlikelihood",7318.95,7298.51,7285.5,7275.98,7268.6,7263.16,7259.27,7256.54,7254.65,7253.35,7252.49,7251.93,7251.59,7251.41,7251.34,7251.36
"surveylike",-3.40491,-5.82381,-6.09553,-4.62664,-3.08789,-1.69556,-0.468934,0.563727,1.41725,2.1138,2.67881,3.13661,3.50812,3.81049,4.05752,4.26016
"discardlike",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lengthlike",1406.07,1398.23,1392.85,1389.27,1385.64,1382.2,1379.22,1376.84,1374.94,1373.44,1372.27,1371.35,1370.64,1370.09,1369.67,1369.35
"agelike",5854.3,5855.28,5856.64,5857.06,5857.85,5858.97,5860.14,5861.16,5862,5862.68,5863.2,5863.59,5863.87,5864.07,5864.21,5864.3
"recrlike",59.901,48.8512,40.3644,32.856,27.032,22.7158,19.5611,17.2773,15.6799,14.5966,13.8892,13.4544,13.216,13.1176,13.1186,13.1891
"forerecrlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"priorlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"parmlike",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R0",5.39413,5.37803,5.36421,5.36579,5.36851,5.36902,5.36941,5.36984,5.37046,5.37125,5.37216,5.37317,5.37427,5.37544,5.37667,5.37794
"SB0",1114.24,1096.66,1081.97,1083.91,1087.01,1087.61,1087.96,1088.32,1088.87,1089.6,1090.49,1091.5,1092.62,1093.84,1095.13,1096.48
"SBfinal",23.8784,34.306,57.797,97.716,142.526,187.788,233.523,278.589,321.94,362.868,401.025,436.316,468.807,498.653,526.048,551.2
"deplfinal",0.0214302,0.0312822,0.0534184,0.0901513,0.131117,0.172661,0.214643,0.25598,0.295663,0.333027,0.367749,0.399741,0.429067,0.455874,0.480351,0.502701
"yieldspr",1.26735e-12,8.28229e-12,15.3053,46.0773,64.7925,77.2709,86.2157,92.949,98.2207,102.474,105.989,108.952,111.491,113.699,115.641,117.368
"steep",0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
"mfem",0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034,0.0439034
"lminfem",1.08286,0.953739,0.880647,0.840659,0.828778,0.83171,0.84475,0.858658,0.873745,0.888788,0.90266,0.914972,0.925665,0.934841,0.942662,0.94931
"lmaxfem",61.725,61.7255,61.7347,61.7463,61.7639,61.7827,61.7992,61.8124,61.8228,61.831,61.8373,61.8422,61.8458,61.8484,61.8504,61.8517
"kfem",0.0766043,0.0767401,0.0767765,0.0767525,0.0766603,0.0765423,0.0764208,0.0763177,0.0762295,0.0761557,0.0760957,0.0760477,0.0760099,0.0759803,0.0759574,0.0759398
"cv1fem",0.147253,0.147664,0.148211,0.148519,0.148868,0.149231,0.149545,0.149798,0.149992,0.150137,0.150241,0.150314,0.150362,0.150392,0.150408,0.150413
"cv2fem",0.0628943,0.0626264,0.0624451,0.0624011,0.0623231,0.0622198,0.0621216,0.0620397,0.0619739,0.0619227,0.0618842,0.0618562,0.0618366,0.0618238,0.0618161,0.0618123
"mmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lminmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lmaxmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kmale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv1male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cv2male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
