"Year","catch","fleet","GearGroup"
1889,0,2,"NONTWL"
1890,0.0681923076923077,2,"NONTWL"
1891,0.136384615384615,2,"NONTWL"
1892,0.204576923076923,2,"NONTWL"
1893,0.272769230769231,2,"NONTWL"
1894,0.340961538461538,2,"NONTWL"
1895,0.409153846153846,2,"NONTWL"
1896,0.477346153846154,2,"NONTWL"
1897,0.545538461538462,2,"NONTWL"
1898,0.613730769230769,2,"NONTWL"
1899,0.681923076923077,2,"NONTWL"
1900,0.750115384615385,2,"NONTWL"
1901,0.818307692307692,2,"NONTWL"
1902,0.8865,2,"NONTWL"
1903,0.954692307692308,2,"NONTWL"
1904,1.02288461538462,2,"NONTWL"
1905,1.09107692307692,2,"NONTWL"
1906,1.15926923076923,2,"NONTWL"
1907,1.22746153846154,2,"NONTWL"
1908,1.29565384615385,2,"NONTWL"
1909,1.36384615384615,2,"NONTWL"
1910,1.43203846153846,2,"NONTWL"
1911,1.50023076923077,2,"NONTWL"
1912,1.56842307692308,2,"NONTWL"
1913,1.63661538461538,2,"NONTWL"
1914,1.70480769230769,2,"NONTWL"
1915,1.773,2,"NONTWL"
1916,1.773,2,"NONTWL"
1917,2.959,2,"NONTWL"
1918,3.483,2,"NONTWL"
1919,1.62,2,"NONTWL"
1920,1.836,2,"NONTWL"
1921,1.85,2,"NONTWL"
1922,1.675,2,"NONTWL"
1923,1.79,2,"NONTWL"
1924,2.582,2,"NONTWL"
1925,3.69,2,"NONTWL"
1926,4.253,2,"NONTWL"
1927,4.873,2,"NONTWL"
1928,4.181,2,"NONTWL"
1929,4.075,2,"NONTWL"
1930,5.295,2,"NONTWL"
1931,4.743,2,"NONTWL"
1932,7.079,2,"NONTWL"
1933,2.814,2,"NONTWL"
1934,4.172,2,"NONTWL"
1935,6.312,2,"NONTWL"
1936,6.596,2,"NONTWL"
1937,4.312,2,"NONTWL"
1938,4.73,2,"NONTWL"
1939,4.785,2,"NONTWL"
1940,3.074,2,"NONTWL"
1941,4.268,2,"NONTWL"
1942,3.12,2,"NONTWL"
1943,3.924,2,"NONTWL"
1944,16.803,2,"NONTWL"
1945,40.436,2,"NONTWL"
1946,41.569,2,"NONTWL"
1947,9.619,2,"NONTWL"
1948,17.064,2,"NONTWL"
1949,6.326,2,"NONTWL"
1950,4.79,2,"NONTWL"
1951,7.407,2,"NONTWL"
1952,5.677,2,"NONTWL"
1953,3.399,2,"NONTWL"
1954,6.91,2,"NONTWL"
1955,1.518,2,"NONTWL"
1956,2.118,2,"NONTWL"
1957,3.475,2,"NONTWL"
1958,4.453,2,"NONTWL"
1959,3.505,2,"NONTWL"
1960,3.652,2,"NONTWL"
1961,3.084,2,"NONTWL"
1962,2.983,2,"NONTWL"
1963,6.38,2,"NONTWL"
1964,5.035,2,"NONTWL"
1965,6.152,2,"NONTWL"
1966,5.021,2,"NONTWL"
1967,5.119,2,"NONTWL"
1968,4.679,2,"NONTWL"
1969,3.904,2,"NONTWL"
1970,3.477,2,"NONTWL"
1971,4.727,2,"NONTWL"
1972,7.439,2,"NONTWL"
1973,5.889,2,"NONTWL"
1974,11.586,2,"NONTWL"
1975,9.931,2,"NONTWL"
1976,13.392,2,"NONTWL"
1977,14.947,2,"NONTWL"
1978,30.755,2,"NONTWL"
1979,38.316,2,"NONTWL"
1980,26.581,2,"NONTWL"
1928,0.644,3,"REC"
1929,1.287,3,"REC"
1930,1.481,3,"REC"
1931,1.973,3,"REC"
1932,2.467,3,"REC"
1933,2.96,3,"REC"
1934,3.453,3,"REC"
1935,3.947,3,"REC"
1936,4.438,3,"REC"
1937,5.265,3,"REC"
1938,5.178,3,"REC"
1939,4.528,3,"REC"
1940,6.509,3,"REC"
