Year,CA trawl (mt),CA non- trawl (mt),CA sport (mt),OR-WA trawl (mt),OR-WA non- trawl (mt),"OR
sport (mt)","WA
sport (mt)","WA
sport (1000s
fish)",Total Catch (mt)
1889,0,0,0,0,0.04,0,0,0,0.04
1890,0.02,0.07,0,0,0.04,0,0,0,0.13
1891,0.03,0.13,0,0,0.07,0,0,0,0.23
1892,0.05,0.2,0,0,3.64,0,0,0,3.89
1893,0.06,0.26,0,0,3.55,0,0,0,3.87
1894,0.08,0.33,0,0,3.55,0,0,0,3.96
1895,0.09,0.39,0,0,0.92,0,0,0,1.4
1896,0.11,0.46,0,0,0.22,0,0,0,0.79
1897,0.12,0.52,0,0,0.22,0,0,0,0.86
1898,0.14,0.59,0,0,0.13,0,0,0,0.86
1899,0.16,0.66,0,0,0.23,0,0,0,1.05
1900,0.17,0.72,0,0,0.3,0,0,0,1.19
1901,0.19,0.79,0,0,0.39,0,0,0,1.37
1902,0.2,0.85,0,0,0.48,0,0,0,1.53
1903,0.22,0.92,0,0,0.56,0,0,0,1.7
1904,0.23,0.98,0,0,0.73,0,0,0,1.94
1905,0.25,1.05,0,0,0.74,0,0,0,2.04
1906,0.26,1.11,0,0,0.83,0,0,0,2.2
1907,0.28,1.18,0,0,0.91,0,0,0,2.37
1908,0.3,1.25,0,0,1.95,0,0,0,3.5
1909,0.31,1.31,0,0,1.09,0,0,0,2.71
1910,0.33,1.38,0,0,1.18,0,0,0,2.89
1911,0.34,1.44,0,0,1.26,0,0,0,3.04
1912,0.36,1.51,0,0,1.35,0,0,0,3.22
1913,0.37,1.57,0,0,1.44,0,0,0,3.38
1914,0.39,1.64,0,0,1.53,0,0,0,3.56
1915,0.4,1.7,0,0,2.23,0,0,0,4.33
1916,0.42,1.77,0,0,1.7,0,0,0,3.89
1917,0.66,2.96,0,0,1.79,0,0,0,5.41
1918,0.77,3.48,0,0,18.54,0,0,0,22.79
1919,0.54,1.62,0,0,7.61,0,0,0,9.77
1920,0.55,1.84,0,0,6.57,0,0,0,8.96
1921,0.45,1.85,0,0,6.33,0,0,0,8.63
1922,0.39,1.68,0,0,4.38,0,0,0,6.45
1923,0.42,1.79,0,0,5.1,0,0,0,7.31
1924,0.24,2.58,0,0,9.29,0,0,0,12.11
1925,0.17,3.69,0,0,11.48,0,0,0,15.34
1926,0.62,4.25,0,0,17.48,0,0,0,22.35
